,xl_x: g,xl_y: g,xl_z: g,gr_x: deg/s,gr_y: deg/s,gr_z: deg/s,mg_x/gauss,mg_y/gauss,mg_z/gauss,orient_x/deg,orient_y/deg,orient_z/deg,pos_x/m,pos_y/m,pos_z/m
211,-0.009272,-1.017907,-0.044896,-1.53125,0.035,-0.4025,-0.650395,0.318036,0.081263,-90.595505,-0.316723,-172.100479,0.007967,0.030720,0.016852
212,-0.009455,-0.999485,-0.045384,1.3825,0.105,-0.415625,-0.650395,0.318036,0.081263,-90.601448,-0.316547,-172.114594,0.006434,0.036062,0.017716
213,-0.007503,-1.022299,-0.041602,1.6275,0.258125,-0.3325,-0.650395,0.318036,0.081263,-90.58728,-0.315759,-172.129166,0.008717,0.032633,0.022846
214,-0.006466,-1.019005,-0.032269,1.60125,0.16625,-0.4725,-0.650395,0.318036,0.081263,-90.566277,-0.317722,-172.142227,0.008934,0.023648,0.019457
215,-0.009272,-1.019554,-0.044652,1.12,0.065625,-0.415625,-0.650395,0.318036,0.081263,-90.563469,-0.31875,-172.155502,0.010044,0.036346,0.020105
216,-0.009272,-1.018212,-0.040382,4.68125,0.319375,-0.3675,-0.650395,0.318036,0.081263,-90.504082,-0.317636,-172.171082,0.009279,0.035457,0.017080
217,-0.006405,-1.029985,-0.015677,1.124375,0.188125,-0.459375,-0.650395,0.318036,0.081263,-90.452812,-0.318795,-172.183105,0.010130,0.010569,0.026929
218,-0.008479,-1.01443,-0.044042,-1.95125,0.06125,-0.319375,-0.650395,0.318036,0.081263,-90.500931,-0.320218,-172.193924,0.006619,0.036405,0.016602
219,-0.009760,-1.020225,-0.035746,0.0,0.04375,-0.310625,-0.650395,0.318036,0.081263,-90.523643,-0.31859,-172.203918,0.011672,0.028275,0.020672
220,-0.008662,-1.023214,-0.035868,-2.54625,0.00875,-0.3325,-0.650395,0.318036,0.081263,-90.57431,-0.317975,-172.214569,0.010705,0.027321,0.023692
221,-0.005917,-1.018334,-0.047031,-0.756875,0.056875,-0.39375,-0.650395,0.318036,0.081263,-90.625183,-0.318472,-172.225220,0.006491,0.037233,0.017191
222,-0.009760,-1.022665,-0.032818,-2.165625,0.035,-0.319375,-0.650395,0.318036,0.081263,-90.65477,-0.319266,-172.234390,0.012389,0.025022,0.020657
223,-0.009272,-1.016809,-0.050813,-0.6125,0.20125,-0.319375,-0.650395,0.318036,0.081263,-90.702866,-0.317367,-172.245636,0.011592,0.040324,0.014026
224,-0.006222,-1.015284,-0.046665,2.59,0.14,-0.389375,-0.650395,0.318036,0.081263,-90.687805,-0.318504,-172.257660,0.007080,0.035765,0.015948
